model,query,image_id,transform,level,label,cosine
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,5.0,rotation_5deg,0.955469
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,10.0,rotation_10deg,0.886922
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,20.0,rotation_20deg,0.807237
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,45.0,rotation_45deg,0.802699
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,90.0,rotation_90deg,0.819256
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,rotation,180.0,rotation_180deg,0.857722
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,crop,0.9,crop_0.9x,0.945018
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,crop,0.8,crop_0.8x,0.784324
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,crop,0.7,crop_0.7x,0.752319
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,crop,0.5,crop_0.5x,0.676851
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,crop,0.3,crop_0.3x,0.638141
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,0.2,brightness_0.2x,0.919725
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,0.4,brightness_0.4x,0.953003
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,0.6,brightness_0.6x,0.976021
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,0.8,brightness_0.8x,0.988666
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,1.2,brightness_1.2x,0.995649
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,1.5,brightness_1.5x,0.978149
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,2.0,brightness_2x,0.93431
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,brightness,3.0,brightness_3x,0.85486
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,blur,0.5,blur_0.5px,0.975616
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,blur,1.0,blur_1px,0.915295
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,blur,2.0,blur_2px,0.792799
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,blur,4.0,blur_4px,0.53594
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,saturation,0.2,saturation_0.2x,0.971428
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,saturation,0.4,saturation_0.4x,0.983781
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,saturation,0.7,saturation_0.7x,0.995319
resnet18,0,archive/ut-zap50k-images/ut-zap50k-images/Shoes/Oxfords/Bass/7635940.691.jpg,saturation,1.3,saturation_1.3x,0.996384
