model,transform,level,mean,std,min,max,count
resnet18,blur,0.5,0.990585,0.006222427684249434,0.975616,0.994607,8
resnet18,blur,1.0,0.93308025,0.011151443554856123,0.915295,0.947673,8
resnet18,blur,2.0,0.830614625,0.03512531454638012,0.792493,0.891078,8
resnet18,blur,4.0,0.65200325,0.06755577660137059,0.53594,0.722599,8
resnet18,brightness,0.2,0.898624,0.02670007451032942,0.835493,0.919725,8
resnet18,brightness,0.4,0.947052625,0.013854453785567608,0.918099,0.959094,8
resnet18,brightness,0.6,0.96903675,0.010141826614147434,0.949212,0.976021,8
resnet18,brightness,0.8,0.985201,0.005344871908127075,0.976085,0.989089,8
resnet18,brightness,1.2,0.988230875,0.009333294020219079,0.968071,0.996737,8
resnet18,brightness,1.5,0.9607036250000001,0.033494599982417196,0.88546,0.991201,8
resnet18,brightness,2.0,0.906371375,0.06394985508290851,0.81854,0.979944,8
resnet18,brightness,3.0,0.800970625,0.13502557802234308,0.579887,0.950404,8
resnet18,crop,0.3,0.691505625,0.08883416334615143,0.504476,0.762974,8
resnet18,crop,0.5,0.78781575,0.06444765829005293,0.676851,0.870541,8
resnet18,crop,0.7,0.88573775,0.060562836472896966,0.752319,0.92763,8
resnet18,crop,0.8,0.9230913749999999,0.05901873412482193,0.784324,0.962197,8
resnet18,crop,0.9,0.966474625,0.01307955458981139,0.945018,0.984803,8
resnet18,hue,-0.3,0.956854375,0.04153370947603022,0.876831,0.998794,8
resnet18,hue,-0.15,0.968277,0.030290239087864594,0.922817,0.999128,8
resnet18,hue,0.15,0.961938,0.032318583411317464,0.921984,0.999103,8
resnet18,hue,0.3,0.95162125,0.039626817772636144,0.890267,0.998634,8
resnet18,rotation,5.0,0.940678625,0.013855043186379047,0.924964,0.960813,8
resnet18,rotation,10.0,0.878689125,0.01643161827033913,0.859745,0.909194,8
resnet18,rotation,20.0,0.825279,0.02652034816621272,0.773573,0.85621,8
resnet18,rotation,45.0,0.79547425,0.027531899284544206,0.744586,0.83505,8
resnet18,rotation,90.0,0.82329175,0.01789957063930387,0.797927,0.853947,8
resnet18,rotation,180.0,0.841995625,0.030328542496831968,0.792782,0.898162,8
resnet18,saturation,0.2,0.9757247499999999,0.021389279823246517,0.933593,0.999412,8
resnet18,saturation,0.4,0.987218375,0.011371589334043995,0.963749,0.999626,8
resnet18,saturation,0.7,0.996985,0.0025533256744880834,0.992045,0.999904,8
resnet18,saturation,1.3,0.99813175,0.0014325098603500369,0.99586,0.999817,8
resnet18,saturation,1.7,0.9922,0.005182145446489495,0.985002,0.999063,8
resnet18,saturation,2.5,0.9741695,0.016995334015126477,0.953528,0.996682,8
vit,blur,0.5,0.98751675,0.005163261808198356,0.982064,0.996046,8
vit,blur,1.0,0.9009121250000001,0.03489512370943009,0.8569,0.957323,8
vit,blur,2.0,0.727167875,0.10307129683786502,0.539465,0.89496,8
vit,blur,4.0,0.398618625,0.10288348128404773,0.24882,0.557408,8
vit,brightness,0.2,0.50104825,0.0977789537079135,0.324691,0.601971,8
vit,brightness,0.4,0.9695247499999999,0.010897954221517217,0.951499,0.984489,8
vit,brightness,0.6,0.98756175,0.004850187470603573,0.979808,0.993885,8
vit,brightness,0.8,0.99651825,0.0010747597405931992,0.994878,0.998007,8
vit,brightness,1.2,0.98888275,0.007219083929815097,0.973555,0.997115,8
vit,brightness,1.5,0.921194375,0.10555343455999294,0.672712,0.9884,8
vit,brightness,2.0,0.821723125,0.22172998942049027,0.305268,0.966589,8
vit,brightness,3.0,0.684916375,0.22285093104388193,0.264832,0.906693,8
vit,crop,0.3,0.374656,0.14141054979334866,0.2199,0.604446,8
vit,crop,0.5,0.65451425,0.16868281266647003,0.319862,0.843024,8
vit,crop,0.7,0.879308875,0.06880935570615691,0.764786,0.95694,8
vit,crop,0.8,0.911798,0.05799809913633869,0.826573,0.980143,8
vit,crop,0.9,0.939898625,0.0500989189103132,0.826365,0.981178,8
vit,hue,-0.3,0.894233875,0.0742477568115938,0.792462,0.99133,8
vit,hue,-0.15,0.916352125,0.06524793477506174,0.81159,0.995443,8
vit,hue,0.15,0.911208375,0.06691802247726585,0.824634,0.996195,8
vit,hue,0.3,0.886367625,0.08167192124231383,0.803611,0.995295,8
vit,rotation,5.0,0.927212,0.0355245220778147,0.872204,0.979516,8
vit,rotation,10.0,0.892864,0.038646153447474095,0.852285,0.966272,8
vit,rotation,20.0,0.865000875,0.05904695698567248,0.803114,0.950781,8
vit,rotation,45.0,0.528521625,0.15098670355549051,0.350634,0.802425,8
vit,rotation,90.0,0.491739625,0.11870348839613228,0.310828,0.687877,8
vit,rotation,180.0,0.52859725,0.13920114684641482,0.344462,0.714141,8
vit,saturation,0.2,0.95536975,0.026067622861374564,0.922209,0.993424,8
vit,saturation,0.4,0.979055625,0.012668958317055357,0.958585,0.995588,8
vit,saturation,0.7,0.9957097500000001,0.0029486982478956533,0.989903,0.999045,8
vit,saturation,1.3,0.99688075,0.0016841596251119392,0.994001,0.999428,8
vit,saturation,1.7,0.985462625,0.008223554339951984,0.972483,0.997849,8
vit,saturation,2.5,0.950876625,0.032431111530827963,0.898883,0.993221,8
