algorithm,parameters,build_seconds,search_seconds,latency_ms_per_query,queries_per_second,recall_at_5,recall_at_10,recall_at_20,index_size_mb
Exact FlatIP,"{""metric"": ""cosine""}",4.016053012001066,2.1575532629976806,2.1575532629976806,463.4879783271775,1.0,1.0,1.0,358.60258197784424
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 16}",36.87972183600141,0.14926494199971785,0.14926494199971785,6699.496791429365,0.9316,0.9155,0.8917999999999999,390.3794002532959
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 32}",36.87972183600141,0.2358311579992005,0.2358311579992005,4240.321798374878,0.9702000000000001,0.9627,0.9542,390.3794002532959
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 64}",36.87972183600141,0.3794900069988216,0.3794900069988216,2635.1155012182053,0.989,0.9856,0.98405,390.3794002532959
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 128}",36.87972183600141,0.7036725910002133,0.7036725910002133,1421.1154630573026,0.996,0.995,0.9945499999999999,390.3794002532959
HNSW,"{""M"": 32, ""efConstruction"": 200, ""efSearch"": 256}",36.87972183600141,1.087348672997905,1.087348672997905,919.6682028800589,0.9977999999999999,0.9974000000000001,0.9976499999999999,390.3794002532959
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 1, ""train_sample"": 50000}",25.383326994997333,0.10541843199825962,0.10541843199825962,9486.007153061328,0.3652,0.4025,0.43175,8.03915023803711
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 4, ""train_sample"": 50000}",25.383326994997333,0.18852400799733005,0.18852400799733005,5304.364206038747,0.4138,0.4599,0.49985,8.03915023803711
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 8, ""train_sample"": 50000}",25.383326994997333,0.2017539160005981,0.2017539160005981,4956.533284821275,0.41779999999999995,0.4644,0.50455,8.03915023803711
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 16, ""train_sample"": 50000}",25.383326994997333,0.3191447950011934,0.3191447950011934,3133.3739909380647,0.418,0.4645,0.50515,8.03915023803711
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 32, ""train_sample"": 50000}",25.383326994997333,0.5363261880011123,0.5363261880011123,1864.5369597315394,0.418,0.46470000000000006,0.5053500000000001,8.03915023803711
IVF-PQ,"{""m"": 48, ""nbits"": 8, ""nlist"": 256, ""nprobe"": 64, ""train_sample"": 50000}",25.383326994997333,1.0660976729996037,1.0660976729996037,938.0003589974741,0.418,0.46470000000000006,0.5053500000000001,8.03915023803711
LSH,"{""nbits"": 256}",0.9793045520018495,0.21465709900076035,0.21465709900076035,4658.592726050294,0.29020000000000007,0.324,0.3615499999999999,4.485531806945801
LSH,"{""nbits"": 512}",1.3355017360008787,0.3908482179977,0.3908482179977,2558.5379539990245,0.443,0.4734,0.50935,8.970974922180176
